Year,Team Number,City,State,Country,Team Name
1992,20," ""Clifton Park", New York," USA""",20: The Rocketeers
1992,45," ""Kokomo", Indiana," USA""",45: TechnoKats Robotics Team
1992,126," ""Clinton", Massachusetts," USA""",126: Gael Force
1992,148," ""Greenville", Texas," USA""",148: Robowranglers
1992,151," ""Nashua", New Hampshire," USA""",151: Tough Techs
1992,190," ""Worcester", Massachusetts," USA""",190: Gompei and the H.E.R.D.
1992,191," ""Rochester", New York," USA""",191: X-CATS
1994,81," ""Freeport", Illinois," USA""",81: MetalHeads
1994,144," ""Cincinnati", Ohio," USA""",144: The R.O.C.K
1994,155," ""Berlin", Connecticut," USA""",155: The Technonuts
1995,73," ""Rochester", New York," USA""",73: The Illumination
1995,74," ""Holland", Michigan," USA""",74: Team C.H.A.O.S.
1995,108," ""Ft. Lauderdale", Florida," USA""",108: SigmaC@T Robotic Team
1995,120," ""Cleveland", Ohio," USA""",120: Cleveland's Team
1995,131," ""Manchester", New Hampshire," USA""",131: C.H.A.O.S.
1995,141," ""Holland", Michigan," USA""",141: WOBOT
1995,157," ""Marlborough", Massachusetts," USA""",157: AZTECHS
1995,166," ""Merrimack", New Hampshire," USA""",166: Chop Shop
1995,171," ""Platteville", Wisconsin," USA""",171: Cheese Curd Herd
1995,173," ""Tolland", Connecticut," USA""",173: RAGE (Robotics And Gadget Engineering)
1995,177," ""South Windsor", Connecticut," USA""",177: Bobcat Robotics
1996,8," ""Palo Alto", California," USA""",8: Team 8
1996,16," ""Mountain Home", Arkansas," USA""",16: Bomb Squad
1996,28," ""Sag Harbor", New York," USA""",28: Pierson Whalers
1996,33," ""Auburn Hills", Michigan," USA""",33: Killer Bees
1996,51," ""Pontiac", Michigan," USA""",51: The Wings of Fire
1996,58," ""South Portland", Maine," USA""",58: The Riot Crew
1996,71," ""Hammond", Indiana," USA""",71: Team Hammond
1996,75," ""Hillsborough", New Jersey," USA""",75: RoboRaiders
1996,78," ""Newport", Rhode Island," USA""",78: AIR STRIKE
1996,85," ""Zeeland", Michigan," USA""",85: B.O.B. (Built on Brains)
1996,88," ""Bridgewater", Massachusetts," USA""",88: TJ(Squared)
1996,97," ""Cambridge", Massachusetts," USA""",97: Bionic Beef
1996,111," ""Arlington Heights", Illinois," USA""",111: WildStang
1996,116," ""Herndon", Virginia," USA""",116: Epsilon Delta
1996,121," ""Newport County", Rhode Island," USA""",121: Rhode Warriors
1996,138," ""Amherst", New Hampshire," USA""",138: Entropy
1996,172," ""Gorham/Falmouth", Maine," USA""",172: Northern Force
1996,175," ""Enfield", Connecticut," USA""",175: Buzz Robotics
1996,176," ""Windsor Locks", Connecticut," USA""",176: Aces High
1997,1," ""Pontiac", Michigan," USA""",1: The Juggernauts
1997,4," ""Van Nuys", California," USA""",4: Team 4 ELEMENT
1997,11," ""Flanders", New Jersey," USA""",11: MORT
1997,25," ""North Brunswick", New Jersey," USA""",25: Raider Robotix
1997,27," ""Clarkston", Michigan," USA""",27: Team RUSH
1997,31," ""Jenks", Oklahoma," USA""",31: Prime Movers
1997,34," ""Athens", Alabama," USA""",34: Rockets
1997,41," ""Warren", New Jersey," USA""",41: RoboWarriors
1997,56," ""Bound Brook", New Jersey," USA""",56: R.O.B.B.E.
1997,59," ""Miami", Florida," USA""",59: RamTech
1997,60," ""Kingman", Arizona," USA""",60: Bionic Bulldogs
1997,63," ""Erie", Pennsylvania," USA""",63: McDowell Robotics Team 63
1997,67," ""Highland", Michigan," USA""",67: The HOT Team
1997,87," ""Mount Holly", New Jersey," USA""",87: Red Devils
1997,93," ""Appleton", Wisconsin," USA""",93: NEW Apple Corps
1997,95," ""White River Junction", Vermont," USA""",95: Grasshoppers
1997,101," ""Chicago", Illinois," USA""",101: Striker
1997,103," ""Kintnersville", Pennsylvania," USA""",103: Cybersonics
1997,107," ""Holland", Michigan," USA""",107: Team R.O.B.O.T.I.C.S.
1997,114," ""Los Altos", California," USA""",114: Eagle Strike
1997,118," ""League City", Texas," USA""",118: Robonauts
1997,122," ""Hampton", Virginia," USA""",122: NASA Knights
1997,123," ""Hamtramck", Michigan," USA""",123: Team - Cosmos
1997,128," ""Grandview Heights", Ohio," USA""",128: The Botcats
1997,133," ""Standish", Maine," USA""",133: B.E.R.T.
1997,136," ""Plainfield", New Jersey," USA""",136: Killer Kardinals
1997,145," ""Norwich", New York," USA""",145: T-Rx
1997,156," ""Fairview", Pennsylvania," USA""",156: RPM  - Robotics Plus Mayhem 
1997,178," ""Farmington", Connecticut," USA""",178: The 2nd Law Enforcers
1997,192," ""Palo Alto", California," USA""",192: GRT
