Year,Team Number,City,State,Country,Team Name,latitude,longitude
1992,20,Clifton Park,New York,USA,20: The Rocketeers,42.8592987,-73.8197937
1992,45,Kokomo,Indiana,USA,45: TechnoKats Robotics Team,40.4865112,-86.1262436
1992,126,Clinton,Massachusetts,USA,126: Gael Force,42.4207115,-71.6841965
1992,148,Greenville,Texas,USA,148: Robowranglers,33.1390686,-96.106781
1992,151,Nashua,New Hampshire,USA,151: Tough Techs,42.7586212,-71.4643326
1992,190,Worcester,Massachusetts,USA,190: Gompei and the H.E.R.D.,42.2634087,-71.8021927
1992,191,Rochester,New York,USA,191: X-CATS,43.1557999,-77.6163177
1994,81,Freeport,Illinois,USA,81: MetalHeads,42.2972908,-89.6216507
1994,144,Cincinnati,Ohio,USA,144: The R.O.C.K,39.1071281,-84.5041275
1994,155,Berlin,Connecticut,USA,155: The Technonuts,41.6225014,-72.745369
1995,73,Rochester,New York,USA,73: The Illumination,43.1557999,-77.6163177
1995,74,Holland,Michigan,USA,74: Team C.H.A.O.S.,42.7730904,-86.1017609
1995,108,Ft. Lauderdale,Florida,USA,108: SigmaC@T Robotic Team,26.1236706,-80.1435623
1995,120,Cleveland,Ohio,USA,120: Cleveland's Team,41.5047493,-81.6907196
1995,131,Manchester,New Hampshire,USA,131: C.H.A.O.S.,42.991169,-71.463089
1995,141,Holland,Michigan,USA,141: WOBOT,42.7730904,-86.1017609
1995,157,Marlborough,Massachusetts,USA,157: AZTECHS,42.3468018,-71.5479889
1995,166,Merrimack,New Hampshire,USA,166: Chop Shop,42.872509,-71.4906006
1995,171,Platteville,Wisconsin,USA,171: Cheese Curd Herd,42.7349281,-90.4801331
1995,173,Tolland,Connecticut,USA,173: RAGE (Robotics And Gadget Engineering),41.8739319,-72.3726196
1995,177,South Windsor,Connecticut,USA,177: Bobcat Robotics,41.8254585,-72.5601501
1996,8,Palo Alto,California,USA,8: Team 8,37.4446602,-122.1607895
1996,16,Mountain Home,Arkansas,USA,16: Bomb Squad,36.3350983,-92.3852921
1996,28,Sag Harbor,New York,USA,28: Pierson Whalers,41.0010681,-72.2953262
1996,33,Auburn Hills,Michigan,USA,33: Killer Bees,42.6711197,-83.2205276
1996,51,Pontiac,Michigan,USA,51: The Wings of Fire,42.6368713,-83.2884216
1996,58,South Portland,Maine,USA,58: The Riot Crew,43.6376114,-70.2517319
1996,71,Hammond,Indiana,USA,71: Team Hammond,41.6050797,-87.5089264
1996,75,Hillsborough,New Jersey,USA,75: RoboRaiders,40.4825516,-74.6531067
1996,78,Newport,Rhode Island,USA,78: AIR STRIKE,41.4921608,-71.3113327
1996,85,Zeeland,Michigan,USA,85: B.O.B. (Built on Brains),42.8121414,-86.0165329
1996,88,Bridgewater,Massachusetts,USA,88: TJ(Squared),41.9887314,-70.9770203
1996,97,Cambridge,Massachusetts,USA,97: Bionic Beef,42.3667908,-71.1060104
1996,111,Arlington Heights,Illinois,USA,111: WildStang,42.0871811,-87.9804382
1996,116,Herndon,Virginia,USA,116: Epsilon Delta,38.9696884,-77.3855515
1996,121,Newport County,Rhode Island,USA,121: Rhode Warriors,41.4887123,-71.4543228
1996,138,Amherst,New Hampshire,USA,138: Entropy,42.8619308,-71.6240234
1996,172,Gorham/Falmouth,Maine,USA,172: Northern Force,45.3152504,-69.203949
1996,175,Enfield,Connecticut,USA,175: Buzz Robotics,41.9983482,-72.5743637
1996,176,Windsor Locks,Connecticut,USA,176: Aces High,41.9296989,-72.631813
1997,1,Pontiac,Michigan,USA,1: The Juggernauts,42.6368713,-83.2884216
1997,4,Van Nuys,California,USA,4: Team 4 ELEMENT,34.1978111,-118.4653854
1997,11,Flanders,New Jersey,USA,11: MORT,40.8469086,-74.6988907
1997,25,North Brunswick,New Jersey,USA,25: Raider Robotix,40.4678001,-74.4719009
1997,27,Clarkston,Michigan,USA,27: Team RUSH,42.7347717,-83.419899
1997,31,Jenks,Oklahoma,USA,31: Prime Movers,36.0241089,-95.9758682
1997,34,Athens,Alabama,USA,34: Rockets,34.8045006,-86.971283
1997,41,Warren,New Jersey,USA,41: RoboWarriors,40.6190414,-74.4912262
1997,56,Bound Brook,New Jersey,USA,56: R.O.B.B.E.,40.5641785,-74.5297165
1997,59,Miami,Florida,USA,59: RamTech,25.7748108,-80.197731
1997,60,Kingman,Arizona,USA,60: Bionic Bulldogs,35.1888199,-114.0554276
1997,63,Erie,Pennsylvania,USA,63: McDowell Robotics Team 63,42.1294403,-80.0852432
1997,67,Highland,Michigan,USA,67: The HOT Team,42.6437607,-83.6119385
1997,87,Mount Holly,New Jersey,USA,87: Red Devils,39.9929695,-74.7883987
1997,93,Appleton,Wisconsin,USA,93: NEW Apple Corps,44.240799,-88.4085007
1997,95,White River Junction,Vermont,USA,95: Grasshoppers,43.6517906,-72.3185425
1997,101,Chicago,Illinois,USA,101: Striker,41.8842506,-87.6324463
1997,103,Kintnersville,Pennsylvania,USA,103: Cybersonics,40.5585709,-75.178833
1997,107,Holland,Michigan,USA,107: Team R.O.B.O.T.I.C.S.,42.7730904,-86.1017609
1997,114,Los Altos,California,USA,114: Eagle Strike,37.3830795,-122.1142273
1997,118,League City,Texas,USA,118: Robonauts,29.50247,-95.0945511
1997,122,Hampton,Virginia,USA,122: NASA Knights,37.0277901,-76.3451233
1997,123,Hamtramck,Michigan,USA,123: Team - Cosmos,42.3994102,-83.0517273
1997,128,Grandview Heights,Ohio,USA,128: The Botcats,39.9794807,-83.0452271
1997,133,Standish,Maine,USA,133: B.E.R.T.,43.7340889,-70.5481033
1997,136,Plainfield,New Jersey,USA,136: Killer Kardinals,40.6176186,-74.4170609
1997,145,Norwich,New York,USA,145: T-Rx,42.5471916,-75.5385208
1997,156,Fairview,Pennsylvania,USA,156: RPM  - Robotics Plus Mayhem,41.1662407,-75.8639297
1997,178,Farmington,Connecticut,USA,178: The 2nd Law Enforcers,41.7121201,-72.8385696
1997,192,Palo Alto,California,USA,192: GRT,37.4446602,-122.1607895
1997,193,Flanders,New Jersey,USA,193: MORT Beta,40.8469086,-74.6988907
1998,21,Titusville,Florida,USA,21: ComBBAT,28.6080303,-80.8079834
1998,48,Warren,Ohio,USA,48: Delphi E.L.I.T.E.,41.2361984,-80.8127975
1998,53,Greenbelt,Maryland,USA,53: Area 53,39.0006714,-76.8803101
1998,57,Houston,Texas,USA,57: Leopards,29.7604504,-95.3697815
1998,66,Ypsilanti,Michigan,USA,66: Grizzly Robotics,42.2408104,-83.6130905
1998,68,Ortonville,Michigan,USA,68: Truck Town Thunder,42.8523102,-83.444931
1998,69,Quincy,Massachusetts,USA,69: HYPER,42.2522812,-71.004158
1998,70,Goodrich,Michigan,USA,70: More Martians,42.9169312,-83.5033875
1998,79,Tarpon Springs,Florida,USA,79: Team Krunch,28.1508408,-82.7530594
1998,86,Jacksonville,Florida,USA,86: Team Resistance,30.3314705,-81.6562195
1998,94,Southfield,Michigan,USA,94: The  Technojays,42.4817505,-83.2409286
1998,100,Woodside,California,USA,100: The WildHats,37.4293098,-122.2530975
1998,102,Somerville,New Jersey,USA,102: The Gearheads,40.5707016,-74.6193924
1998,115,Cupertino,California,USA,115: MVRT,37.3189583,-122.0292816
1998,117,Pittsburgh,Pennsylvania,USA,117: The Steel Dragons,40.4383392,-79.997467
1998,125,Boston,Massachusetts,USA,125: NUTRONs,42.3586617,-71.0567398
1998,135,Mishawaka,Indiana,USA,135: Penn Robotics,41.6601715,-86.1725769
1998,159,Fort Collins,Colorado,USA,159: Alpine Robotics,40.5814705,-105.0762634
1998,167,Iowa City,Iowa,USA,167: Children of the Corn,41.6578217,-91.5265274
1998,174,Liverpool,New York,USA,174: Arctic Warriors,43.1042404,-76.2096481
1998,179,Riviera Beach,Florida,USA,179: Children of the Swamp,26.7834892,-80.0640106
1998,180,Stuart,Florida,USA,180: S.P.A.M.,27.1999893,-80.2553635
1998,181,Hartford,Connecticut,USA,181: Birds Of Prey,41.7634888,-72.6740189
1998,188,Toronto,Ontario,Canada,188: Blizzard,43.6573982,-79.4328003
1998,195,Southington,Connecticut,USA,195: CyberKnights,41.6002197,-72.8781281
1998,199,Belmont,California,USA,199: Deep Blue,37.5183411,-122.276207
1998,201,Rochester Hills,Michigan,USA,201: The FEDS,42.6648102,-83.1604919
1998,203,Sicklerville,New Jersey,USA,203: One TUFF Team (Team United for FIRST),39.7179298,-74.9708481
1998,204,Voorhees,New Jersey,USA,204: Eastern Robotic Vikings,39.8549995,-74.9837723
1998,231,Pasadena,Texas,USA,231: High Voltage,29.6908398,-95.1962967
1998,272,Lansdale,Pennsylvania,USA,272: Cyber-Crusaders,40.2405815,-75.2853088
1999,207,Hawthorne,California,USA,207: METALCRAFTERS,33.91819,-118.3537369
1999,213,Keene,New Hampshire,USA,213: The Dirty Birds,42.9332008,-72.2815018
1999,216,Grandville,Michigan,USA,216: More RoboDawgs,42.9069214,-85.7628937
1999,217,Sterling Heights,Michigan,USA,217: ThunderChickens,42.593399,-83.0135574
1999,219,Washington,New Jersey,USA,219: Team Impact,40.7636604,-75.0093689
1999,222,Tunkhannock,Pennsylvania,USA,222: Tigertrons,41.5391617,-75.9479523
1999,223,Wanaque,New Jersey,USA,223: Xtreme Heat,41.0510406,-74.2890091
1999,224,Piscataway,New Jersey,USA,224: The Tribe,40.5392494,-74.471489
1999,225,York,Pennsylvania,USA,225: TechFire,39.9645309,-76.7242889
1999,226,Troy,Michigan,USA,226: Hammerheads,42.5623703,-83.1544876
1999,228,Meriden,Connecticut,USA,228: GUS Robotics,41.5362816,-72.7978363
1999,229,Potsdam,New York,USA,229: Division By Zero,44.6698608,-74.9858932
1999,230,Shelton,Connecticut,USA,230: Gaelhawks,41.3226013,-73.1091003
1999,233,Rockledge/Cocoa Beach,Florida,USA,233: The Pink Team,28.4930878,-82.47229
1999,234,Indianapolis,Indiana,USA,234: Cyber Blue,39.7669106,-86.1499634
1999,236,Old Lyme,Connecticut,USA,236: Techno-Ticks,41.3237381,-72.3307877
1999,237,Watertown,Connecticut,USA,237: Black Magic Robotics,41.6048698,-73.1194
1999,238,Manchester,New Hampshire,USA,238: Cruisin' Crusaders,42.991169,-71.463089
1999,240,Monroe,Michigan,USA,240: Tempest,41.9160614,-83.3979034
1999,244,Grandville,Michigan,USA,244: RoboDawgs 3D,42.9069214,-85.7628937
1999,245,Rochester Hills,Michigan,USA,245: Adambots,42.6648102,-83.1604919
1999,246,Boston,Massachusetts,USA,246: Overclocked,42.3586617,-71.0567398
1999,247,Berkley,Michigan,USA,247: Da Bears,42.5028,-83.1838989
1999,250,Colonie,New York,USA,250: Dynamos,42.7385406,-73.7908478
1999,253,Millbrae,California,USA,253: Mills Robotics Team,37.6030998,-122.3961563
1999,254,San Jose,California,USA,254: The Cheesy Poofs,37.3385811,-121.8855667
1999,256,San Jose,California,USA,256: Robo-Rams,37.3385811,-121.8855667
